Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.46586345381526106,0.4619950961414376,125,59,66,0,0.48,-0.13786938275031838,-0.05807893231437278
AAPL,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.45564516129032256,0.4631923959357588,83,48,35,0,0.5060240963855421,0.503637979595597,0.08988852158500205
AAPL,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.3805668016194332,0.39129573372077664,62,31,31,0,0.5645161290322581,1.171021171925882,0.2534931897931558
AAPL,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.43089430894308944,0.4508620689655173,50,23,27,0,0.48,0.09787726944034772,-0.007290624443197835
AAPL,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.3673469387755102,0.36312141809942683,41,14,27,0,0.5609756097560976,-0.1420950028012216,-0.04884134094237791
AAPL,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.4262295081967213,0.4184929653679654,35,9,26,0,0.42857142857142855,-0.7221709793866009,-0.1682958453238308
AAPL,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.41975308641975306,0.3986887508626638,31,8,23,0,0.6451612903225806,-0.17019599359801024,-0.05626195733717676
AAPL,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.43388429752066116,0.45088265835929386,27,5,22,0,0.48148148148148145,-0.48688142965114933,-0.11385119370771402
AAPL,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.4190871369294606,0.4364383180172654,25,3,22,0,0.4,-1.5538721389186478,-0.29522702917204113
META,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4939759036144578,0.5176916046481264,125,53,72,0,0.408,-1.2499599997108293,-0.38440121297159
META,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5161290322580645,0.5202209508778851,83,31,52,0,0.5542168674698795,-0.2855967009033825,-0.13754527121359583
META,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.44129554655870445,0.44362745098039225,62,12,50,0,0.45161290322580644,-0.9089531667244624,-0.2802732429997248
META,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4268292682926829,0.4323257080610021,50,2,48,0,0.32,-1.746247330855773,-0.47770421353432424
META,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.39183673469387753,0.40104520157458945,41,0,41,0,0.34146341463414637,-1.8850047617923165,-0.448020620317209
META,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.4139344262295082,0.35750272331154687,35,0,35,0,0.34285714285714286,-1.7079865749536804,-0.43084021047522214
META,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.4403292181069959,0.4253914227365555,31,0,31,0,0.3548387096774194,-1.7421670607115909,-0.44570065792266733
META,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.45454545454545453,0.379510661563696,27,0,27,0,0.3333333333333333,-1.5599032166728786,-0.43773719717122117
META,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.43983402489626555,0.4100759144237406,25,0,25,0,0.32,-1.4442458786378163,-0.43094139494727224
NVDA,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5220883534136547,0.5196512233211869,125,55,70,0,0.472,0.3637144436233942,0.06055129268436166
NVDA,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5524193548387096,0.5236763236763237,83,52,31,0,0.5421686746987951,1.3510741482119595,0.7882277558824815
NVDA,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4898785425101215,0.47532362459546934,62,26,36,0,0.5161290322580645,0.10528016123307431,-0.06952938722919999
NVDA,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5121951219512195,0.46575435729847486,50,23,27,0,0.52,-0.30163859541733395,-0.2810270260549417
NVDA,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.46122448979591835,0.46217543859649124,41,13,28,0,0.4634146341463415,-0.07792269268206696,-0.16717667223486066
NVDA,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.5,0.5003607503607503,35,14,21,0,0.42857142857142855,-0.6997909880378994,-0.35906890910397793
NVDA,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.49382716049382713,0.5291607396870555,31,11,20,0,0.45161290322580644,-0.35917511273691244,-0.26148194927266033
NVDA,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.5330578512396694,0.5579652135943527,27,11,16,0,0.5555555555555556,1.1943276211827947,0.6595603003892294
NVDA,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.5269709543568465,0.5607963465106321,25,12,13,0,0.64,1.8586008832611052,1.3410930816305306
SPY,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5261044176706827,0.5486514388953414,125,38,87,0,0.448,-1.1660748831800902,-0.14431224217030736
