Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
META,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4899598393574297,0.5013056534795666,125,46,79,0,0.416,-1.4298775935529455,-0.4197964445371226
META,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5080645161290323,0.5089761294140855,83,32,51,0,0.5783132530120482,0.30236276276676854,0.046385196385619
META,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4574898785425101,0.4220985691573927,62,16,46,0,0.4838709677419355,-0.6496706139359841,-0.2208176337749781
META,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.42276422764227645,0.39814814814814814,50,6,44,0,0.32,-1.6855312707841132,-0.46746827517897205
META,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.4326530612244898,0.3868603230623049,41,1,40,0,0.36585365853658536,-1.7479119311322293,-0.42712606541995946
META,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.4098360655737705,0.3951525054466231,35,2,33,0,0.4,-0.9906635523596531,-0.29958165019929517
META,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.48148148148148145,0.43199455411844795,31,1,30,0,0.3225806451612903,-2.06907685951968,-0.49311467370036977
META,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.45041322314049587,0.3814926189174412,27,3,24,0,0.37037037037037035,-0.9341435530806135,-0.3158872311275355
META,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.4315352697095436,0.41656314699792957,25,3,22,0,0.36,-1.2118333516922177,-0.3864674226067417
