Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.46184738955823296,0.4727061556329849,125,60,65,0,0.464,-0.34891951571917745,-0.1037982898430162
AAPL,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4879032258064516,0.49387086201245495,83,45,38,0,0.5903614457831325,1.2093147985278876,0.2682597316514008
AAPL,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.44534412955465585,0.4538370096420552,62,29,33,0,0.5645161290322581,0.780599539636605,0.15243111574726997
AAPL,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5203252032520326,0.5442970822281167,50,21,29,0,0.52,0.25718715192496217,0.03398591295517517
AAPL,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.5102040816326531,0.501332800213248,41,12,29,0,0.4146341463414634,-1.2542225683067818,-0.23958717541444952
AAPL,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.5737704918032787,0.5507305194805195,35,12,23,0,0.45714285714285713,-0.41370294101965766,-0.11010597774281394
AAPL,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.5102880658436214,0.5110420979986197,31,5,26,0,0.6129032258064516,-0.3809882738207607,-0.09671899822665297
AAPL,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.5206611570247934,0.4891658013153341,27,1,26,0,0.4074074074074074,-1.647487300166341,-0.2907124813205938
AAPL,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.46887966804979253,0.47605123920913395,25,2,23,0,0.32,-1.948062128516339,-0.34489072386720154
META,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4899598393574297,0.5013056534795666,125,46,79,0,0.416,-1.4298775935529455,-0.4197964445371226
META,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5080645161290323,0.5089761294140855,83,32,51,0,0.5783132530120482,0.30236276276676854,0.046385196385619
META,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4574898785425101,0.4220985691573927,62,16,46,0,0.4838709677419355,-0.6496706139359841,-0.2208176337749781
META,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.42276422764227645,0.39814814814814814,50,6,44,0,0.32,-1.6855312707841132,-0.46746827517897205
META,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.4326530612244898,0.3868603230623049,41,1,40,0,0.36585365853658536,-1.7479119311322293,-0.42712606541995946
META,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.4098360655737705,0.3951525054466231,35,2,33,0,0.4,-0.9906635523596531,-0.29958165019929517
META,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.48148148148148145,0.43199455411844795,31,1,30,0,0.3225806451612903,-2.06907685951968,-0.49311467370036977
META,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.45041322314049587,0.3814926189174412,27,3,24,0,0.37037037037037035,-0.9341435530806135,-0.3158872311275355
