Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
NVDA,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5220883534136547,0.5158120770432066,125,57,68,0,0.504,0.594332424590107,0.19051866942443918
NVDA,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5685483870967742,0.5513819513819513,83,52,31,0,0.5662650602409639,0.8581210462621136,0.37020981061468294
NVDA,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5141700404858299,0.510180690399137,62,30,32,0,0.5161290322580645,1.051604255356759,0.49562152992933495
NVDA,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5203252032520326,0.5078976034858388,50,24,26,0,0.54,0.436346664163539,0.0908070355664854
NVDA,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.5224489795918368,0.531157894736842,41,15,26,0,0.43902439024390244,0.04617647632543384,-0.11054862639258822
NVDA,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.5655737704918032,0.5874458874458874,35,13,22,0,0.4,-0.1459722867997248,-0.16812719368630824
NVDA,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.5308641975308642,0.5680654338549074,31,11,20,0,0.45161290322580644,-0.39253272558840835,-0.273294758538722
NVDA,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.5578512396694215,0.597409213303253,27,13,14,0,0.6296296296296297,1.8873349648037832,1.375811146621999
NVDA,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.5518672199170125,0.5909804481233052,25,12,13,0,0.64,2.1109360590251676,1.6397180289548245
