Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.46184738955823296,0.4727061556329849,125,60,65,0,0.464,-0.34891951571917745,-0.1037982898430162
AAPL,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4879032258064516,0.49387086201245495,83,45,38,0,0.5903614457831325,1.2093147985278876,0.2682597316514008
AAPL,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.44534412955465585,0.4538370096420552,62,29,33,0,0.5645161290322581,0.780599539636605,0.15243111574726997
AAPL,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5203252032520326,0.5442970822281167,50,21,29,0,0.52,0.25718715192496217,0.03398591295517517
AAPL,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.5102040816326531,0.501332800213248,41,12,29,0,0.4146341463414634,-1.2542225683067818,-0.23958717541444952
AAPL,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.5737704918032787,0.5507305194805195,35,12,23,0,0.45714285714285713,-0.41370294101965766,-0.11010597774281394
AAPL,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.5102880658436214,0.5110420979986197,31,5,26,0,0.6129032258064516,-0.3809882738207607,-0.09671899822665297
AAPL,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.5206611570247934,0.4891658013153341,27,1,26,0,0.4074074074074074,-1.647487300166341,-0.2907124813205938
AAPL,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.46887966804979253,0.47605123920913395,25,2,23,0,0.32,-1.948062128516339,-0.34489072386720154
