Date,Close,Combi 1: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 2: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 3: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 4: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 5: Crossover (Price & EMA 20) + SMA Crossover (8 & 12),Combi 6: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 7: Crossover (Price & EMA 12) + MACD Crossover,Combi 8: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 9: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 10: Crossover (Price & EMA 20) + MACD Crossover,News Sentiment Score,Social Sentiment Score
2/1/2020,72.53852081,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6101308382426779,0.7186964346079219
3/1/2020,71.83327484,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.37462704575,0.6638019962798914
6/1/2020,72.40569305,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.186078203559103,0.6854696763431252
7/1/2020,72.06516266,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9951283,0.703324016807598
8/1/2020,73.22441101,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4351951684296988,0.6803760442094503
9/1/2020,74.77976227,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1221527268650591,0.6711516175626188
10/1/2020,74.94879913,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4624148325,0.6488016125355754
13/1/2020,76.55004883,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3326025721768667,0.7078718151570426
14/1/2020,75.51636505,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.0163369999999999,0.6808377939151385
15/1/2020,75.19274902,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3292949834373339,0.7108307750121373
16/1/2020,76.13463593,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5036918375,0.6840647580415723
17/1/2020,76.97753143,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9847804066666668,0.7028905211845564
21/1/2020,76.45587158,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.98985485,0.6872299422928516
22/1/2020,76.72878265,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8825706833333333,0.7076768268121594
23/1/2020,77.09830475,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6266554653752,0.7014442789253927
24/1/2020,76.87608337,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2131585585714285,0.6622431036197944
27/1/2020,74.61551666,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Sell,-0.2252760999999999,0.6060477735370932
28/1/2020,76.72634888,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Hold,Hold,0.4963321368455054,0.6252743347961979
29/1/2020,78.33240509,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Hold,Hold,0.2309125763844467,0.6236397433987277
30/1/2020,78.21890259,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3947772,0.6048998172659595
31/1/2020,74.75076294,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,1.2265000000011296e-05,0.6375660034653693
3/2/2020,74.54547882,Hold,Hold,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Hold,0.2073516283333333,0.7320194785714286
4/2/2020,77.00652313,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.710119845,0.7234813472727273
5/2/2020,77.63445282,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Buy,Hold,Hold,0.9812180583333332,0.9422483466666668
6/2/2020,78.54251862,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9771967,0.8577070208571429
7/2/2020,77.47492981,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.74953227169425,0.8166808563636363
10/2/2020,77.8429184,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0313185623187499,0.9311242196875
11/2/2020,77.37324524,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.770244955,0.8376149306666666
12/2/2020,79.21069336,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Sell,Hold,Hold,0.6533123266666666,0.828661284125
13/2/2020,78.64661407,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,0.9652433,0.994367538888889
14/2/2020,78.666008,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3327574133333333,0.982389618
18/2/2020,77.2256012,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.481372141875,0.8084954240740742
19/2/2020,78.34401703,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Sell,Sell,Hold,0.3904103492259,0.74517589625
20/2/2020,77.54029846,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7030616371428572,0.3141944412307692
21/2/2020,75.78514862,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Sell,Sell,Hold,0.9939060766666667,0.6762589207120056
24/2/2020,72.18532562,Hold,Sell,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,-0.0052618714252199,0.6477644327119167
25/2/2020,69.74027252,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3407739639171429,0.6314620382892547
26/2/2020,70.84661102,Hold,Sell,Sell,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.9997953,0.6074614774418695
27/2/2020,66.21549225,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.824591725,0.6134236953837786
28/2/2020,66.17675018,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8333440095166668,0.6285413325432898
2/3/2020,72.33784485,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4259605711776111,0.6411777303865464
3/3/2020,70.04046631,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.74873613975,0.6609140187358533
4/3/2020,73.28923798,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8516256000000001,0.6511673429607014
5/3/2020,70.9119873,Hold,Hold,Hold,Buy,Buy,Buy,Hold,Buy,Hold,Hold,0.44698455,0.6445266697886963
6/3/2020,69.97024536,Hold,Hold,Hold,Sell,Sell,Sell,Hold,Sell,Hold,Hold,0.4029283477777777,0.6386431018713107
9/3/2020,64.43616486,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.50017776285,0.6236166982208582
10/3/2020,69.07692719,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.170638183415875,0.6820022449904838
11/3/2020,66.67786407,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.1703172609655068,0.6407710895704432
12/3/2020,60.09311676,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4448396494285714,0.6402780293346173
13/3/2020,67.29277802,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.48885128737118,0.6436744247621976
16/3/2020,58.63576508,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5544577545454545,0.6670306380783263
17/3/2020,61.21397781,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6358843530153595,0.6625613962621086
18/3/2020,59.71546936,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.64346484,0.6927741513996224
19/3/2020,59.25792313,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2770138394999999,0.6343176661122467
20/3/2020,55.49590302,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5977310900000001,0.6258613037684949
23/3/2020,54.31693268,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2688745928571428,0.6703509202978113
24/3/2020,59.76631165,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6996065716666666,0.6654776795416423
25/3/2020,59.43706512,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6194257291346511,0.6527855227620347
26/3/2020,62.56482315,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5004413627700001,0.6826222077595924
27/3/2020,59.97450638,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Buy,Hold,Buy,0.5406259464285714,0.64342259059836
30/3/2020,61.68604279,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.8959162666666667,0.6452392986713139
31/3/2020,61.56016541,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Buy,Hold,0.6515307206533333,0.6464853227613278
1/4/2020,58.32104874,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.659925038,0.6353088792293314
2/4/2020,59.2942276,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,0.0011702474999999,0.6573406163942426
3/4/2020,58.4420929,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1122141838277778,0.7260782381199657
6/4/2020,63.54042816,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7071521509300001,0.6711865452593492
7/4/2020,62.80448151,Hold,Buy,Buy,Buy,Hold,Buy,Hold,Hold,Buy,Hold,0.999979825,0.6552217804364224
8/4/2020,64.41194916,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3856902326666667,0.6120238732184813
9/4/2020,64.8767395,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.62768403,0.6283813833436299
13/4/2020,66.15013123,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6473756575750733,0.6426528353031424
14/4/2020,69.49090576,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,0.7052986196928199,0.6596191376194567
