Date,Close,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 2: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 3: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 4: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),Combi 5: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 6: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 7: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 8: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 9: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 10: Crossover (Price & EMA 50) + SMA Crossover (8 & 12),News Sentiment Score,Social Sentiment Score
17/1/2020,6.2,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.12956518,0.7170935924885371
21/1/2020,6.17,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99991935,0.6518725047991263
22/1/2020,6.23,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9190904,0.7486614266828321
23/1/2020,6.29,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,7.217956e-08,0.5762700250426662
24/1/2020,6.23,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.009986924,0.5627576330855418
27/1/2020,5.98,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9667573,0.6591051710627548
28/1/2020,6.17,Hold,Hold,Hold,Sell,Sell,Sell,Sell,Hold,Hold,Hold,,0.6686556349484055
29/1/2020,6.11,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,,0.6309964880967264
30/1/2020,6.12,Hold,Hold,Hold,Hold,Sell,Sell,Sell,Hold,Hold,Hold,,0.6666320729814513
31/1/2020,5.89,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9992428,0.6773758267570535
3/2/2020,5.98,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,,0.6173905823104894
4/2/2020,6.15,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.2380807566666666,0.7591866906639828
5/2/2020,6.24,Buy,Hold,Hold,Buy,Buy,Buy,Buy,Hold,Hold,Hold,,0.6338475762437803
6/2/2020,6.33,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9999906,0.7985295992276388
7/2/2020,6.26,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.964010805,0.5581093035570874
10/2/2020,6.55,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.499754905008902,0.6807187211710254
11/2/2020,6.67,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.249898495171338,0.6117999042960383
12/2/2020,6.78,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2501646766472249,0.5796000187270329
13/2/2020,6.74,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1381068158719892,0.626725712884335
14/2/2020,7.21,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-3.1463413297057656e-05,0.6159407939365086
18/2/2020,7.38,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.56371759515705,0.5984071791414085
19/2/2020,7.83,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.2006435508531037,0.7303777606420552
20/2/2020,7.68,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.6490937970583569
21/2/2020,7.32,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9989651,0.6098304587734259
