ModelType,Strategy,Samples,Avg_Accuracy,Avg_ROC_AUC,Avg_Trades,Avg_WinRate,Avg_Sharpe,Avg_TotalReturn
zero-shot,long_short,45,0.49004509234869303,0.46000942408282286,53.22222222222222,0.42534276451319153,-1.0175957429215436,-0.24820482777194774
multivariate,long_short,45,0.49082630694422946,0.47560105497052346,53.22222222222222,0.4161161224095641,-1.0664463228517072,-0.24630550342538618
finetuned,long_short,45,0.4892069805116494,0.4598655315392179,53.22222222222222,0.44964100896486153,-0.3971542353989993,-0.01845312581143512
finetuned_cov,long_short,45,0.5003241525784122,0.49978492902684274,53.22222222222222,0.46026599819142056,-0.37957789129848624,0.1389966881149265
