Stock,Horizon,BestThreshold,Model,ContextLength,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,WinRate,Sharpe,TotalReturn
NVDA,2,0.0025,FinCast,128,0.4738955823293173,0.49850338365434665,125,46,79,0.464,-0.904071058555636,-0.4364023163738342
NVDA,3,0.0025,FinCast,128,0.49193548387096775,0.5121878121878122,83,29,54,0.43373493975903615,-2.100518849841226,-0.7076087171079285
NVDA,4,0.005,FinCast,128,0.4979757085020243,0.5221817691477886,62,21,41,0.46774193548387094,-0.20621107071892025,-0.20424961158488053
NVDA,5,0.005,FinCast,128,0.483739837398374,0.4987404684095861,50,12,38,0.46,-0.9660211433986609,-0.501316321698652
NVDA,6,0.0075,FinCast,128,0.4530612244897959,0.4900701754385965,41,8,33,0.34146341463414637,-1.2120650570333829,-0.5378557353579617
NVDA,7,0.01,FinCast,128,0.4713114754098361,0.5232323232323232,35,7,28,0.34285714285714286,-1.7002232229568737,-0.5855690241435123
NVDA,8,0.015,FinCast,128,0.4773662551440329,0.5330725462304409,31,3,28,0.25806451612903225,-1.3484609569970758,-0.5424401917055128
NVDA,9,0.0175,FinCast,128,0.47520661157024796,0.5581107634087766,27,3,24,0.48148148148148145,-0.46578218204060273,-0.33443955631008626
NVDA,10,0.017,FinCast,128,0.49377593360995853,0.5125588697017269,25,3,22,0.36,-0.8268909670075176,-0.45977555853852703
