Stock,Horizon,BestThreshold,Model,ContextLength,UseCovariates,Strategy,ConfidenceThreshold,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
NVDA,2,0.0025,amazon/chronos-2,60,False,long_short,,0.5220883534136547,0.4883198854763144,125,61,64,0,0.536,0.10848787590350771,-0.06695391896632685
NVDA,3,0.0025,amazon/chronos-2,60,False,long_short,,0.49193548387096775,0.49610389610389616,83,43,40,0,0.4819277108433735,-0.44573307757678016,-0.3183600361927009
NVDA,4,0.005,amazon/chronos-2,60,False,long_short,,0.4979757085020243,0.48516720604099245,62,33,29,0,0.5,0.515077215637856,0.14606960248154666
NVDA,5,0.005,amazon/chronos-2,60,False,long_short,,0.4715447154471545,0.44110838779956424,50,21,29,0,0.48,-1.607037317041941,-0.6398897824288503
NVDA,6,0.0075,amazon/chronos-2,60,False,long_short,,0.4897959183673469,0.4292982456140351,41,17,24,0,0.4634146341463415,0.018052707883629518,-0.12474539793577255
NVDA,7,0.01,amazon/chronos-2,60,False,long_short,,0.5,0.453030303030303,35,16,19,0,0.37142857142857144,-1.4148460585592588,-0.5408006451475473
NVDA,8,0.015,amazon/chronos-2,60,False,long_short,,0.4732510288065844,0.43641536273115217,31,11,20,0,0.25806451612903225,-3.5211187015971537,-0.7855915070308805
NVDA,9,0.0175,amazon/chronos-2,60,False,long_short,,0.5,0.4628484098682774,27,10,17,0,0.37037037037037035,-1.1051312754461473,-0.526549036176059
NVDA,10,0.017,amazon/chronos-2,60,False,long_short,,0.42323651452282157,0.40616526330812047,25,8,17,0,0.32,-2.3141266539666177,-0.7237934037132845
