Stock,Horizon,BestThreshold,Model,ContextLength,UseCovariates,Strategy,ConfidenceThreshold,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn,ModelType,Mode,FineTuneLR,FineTuneSteps
SPY,7,0.01,,,False,long_short,,0.4754098360655737,0.444982838683626,35,13,22,0,0.3714285714285714,-1.894531027061075,-0.1902530198584402,finetuned,Fine-tuned,0.0001,1000.0
SPY,8,0.015,,,False,long_short,,0.5637860082304527,0.4461538461538461,31,2,29,0,0.2903225806451613,-3.4920175763612855,-0.2696667247945228,finetuned,Fine-tuned,0.0001,1000.0
SPY,9,0.0175,,,False,long_short,,0.5702479338842975,0.4535211267605634,27,1,26,0,0.2592592592592592,-2.066198675713341,-0.2236516585763551,finetuned,Fine-tuned,0.0001,1000.0
SPY,10,0.017,,,False,long_short,,0.5311203319502075,0.4556339977851605,25,1,24,0,0.28,-2.2775518152249714,-0.2622522086421115,finetuned,Fine-tuned,0.0001,1000.0
TSLA,2,0.0025,,,False,long_short,,0.4979919678714859,0.478176652892562,125,71,54,0,0.536,2.1618006228277378,2.2397387377572304,finetuned,Fine-tuned,0.0001,1000.0
TSLA,3,0.0025,,,False,long_short,,0.4879032258064516,0.4897866250325267,83,52,31,0,0.4819277108433735,-0.0787410814865749,-0.2110172956288859,finetuned,Fine-tuned,0.0001,1000.0
TSLA,4,0.005,,,False,long_short,,0.5263157894736842,0.5491394034949416,62,38,24,0,0.5967741935483871,0.9305263388461308,0.4781132463011266,finetuned,Fine-tuned,0.0001,1000.0
TSLA,5,0.005,,,False,long_short,,0.5121951219512195,0.5374735169491525,50,32,18,0,0.5,0.3074935057423007,-0.0027536682627071,finetuned,Fine-tuned,0.0001,1000.0
TSLA,6,0.0075,,,False,long_short,,0.5306122448979592,0.514813826237822,41,23,18,0,0.4390243902439024,1.3881709181429631,0.95920514821134,finetuned,Fine-tuned,0.0001,1000.0
TSLA,7,0.01,,,False,long_short,,0.5,0.4756302521008403,35,18,17,0,0.4571428571428571,0.990136394393295,0.5741828442578034,finetuned,Fine-tuned,0.0001,1000.0
TSLA,8,0.015,,,False,long_short,,0.4979423868312757,0.476490514905149,31,12,19,0,0.3870967741935484,-1.1144636249113986,-0.5695494524767909,finetuned,Fine-tuned,0.0001,1000.0
TSLA,9,0.0175,,,False,long_short,,0.4958677685950413,0.4647348277747403,27,11,16,0,0.4814814814814814,-0.0214880124250393,-0.1898925828160642,finetuned,Fine-tuned,0.0001,1000.0
TSLA,10,0.017,,,False,long_short,,0.4688796680497925,0.4653533544565367,25,11,14,0,0.56,0.3427395020154281,0.0059889339518557,finetuned,Fine-tuned,0.0001,1000.0
