Stock,Horizon,BestThreshold,Model,ContextLength,UseCovariates,Strategy,ConfidenceThreshold,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn,ModelType,Mode,FineTuneLR,FineTuneSteps
SPY,8,0.015,amazon/chronos-2,60.0,True,long_short,,0.5720164609053497,0.4559440559440559,31,2,29,0,0.2903225806451613,-3.492017576361285,-0.2696667247945228,multivariate,,,
SPY,9,0.0175,amazon/chronos-2,60.0,True,long_short,,0.5826446280991735,0.4588028169014084,27,1,26,0,0.2592592592592592,-2.066198675713341,-0.2236516585763551,multivariate,,,
SPY,10,0.017,amazon/chronos-2,60.0,True,long_short,,0.5394190871369294,0.4721760797342192,25,1,24,0,0.28,-2.2775518152249714,-0.2622522086421115,multivariate,,,
TSLA,2,0.0025,amazon/chronos-2,60.0,True,long_short,,0.4819277108433735,0.4663287706611571,125,56,69,0,0.496,0.8272326201857023,0.3812780763560492,multivariate,,,
TSLA,3,0.0025,amazon/chronos-2,60.0,True,long_short,,0.5,0.4789877699713765,83,43,40,0,0.4698795180722891,-1.0234651517918725,-0.5531201767922198,multivariate,,,
TSLA,4,0.005,amazon/chronos-2,60.0,True,long_short,,0.5546558704453441,0.5529168309026409,62,28,34,0,0.4677419354838709,-1.4445108518012302,-0.6466139681557367,multivariate,,,
TSLA,5,0.005,amazon/chronos-2,60.0,True,long_short,,0.5650406504065041,0.5406514830508475,50,24,26,0,0.5,0.2961411368814735,-0.0102115799472308,multivariate,,,
TSLA,6,0.0075,amazon/chronos-2,60.0,True,long_short,,0.5306122448979592,0.5109435473108235,41,20,21,0,0.4390243902439024,1.1695949164780788,0.7209126352669757,multivariate,,,
TSLA,7,0.01,amazon/chronos-2,60.0,True,long_short,,0.4959016393442623,0.4832268907563025,35,12,23,0,0.4571428571428571,-0.3471886377749645,-0.3455933143282738,multivariate,,,
TSLA,8,0.015,amazon/chronos-2,60.0,True,long_short,,0.5020576131687243,0.4901761517615176,31,9,22,0,0.3548387096774194,-1.4680558010873246,-0.6390572089401417,multivariate,,,
TSLA,9,0.0175,amazon/chronos-2,60.0,True,long_short,,0.5,0.4888258611262985,27,7,20,0,0.4074074074074074,-0.3391671668192658,-0.3335800825309092,multivariate,,,
TSLA,10,0.017,amazon/chronos-2,60.0,True,long_short,,0.4813278008298755,0.4881181980989117,25,7,18,0,0.48,-0.0177597320569505,-0.2060722262305795,multivariate,,,
