Stock,Horizon,BestThreshold,Model,ContextLength,UseCovariates,Strategy,ConfidenceThreshold,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
META,2,0.0025,amazon/chronos-2,60,True,long_short,,0.4779116465863454,0.516026896461679,125,53,72,0,0.456,-1.16352085599195,-0.36565419868524174
META,3,0.0025,amazon/chronos-2,60,True,long_short,,0.5443548387096774,0.5539882948642073,83,38,45,0,0.5542168674698795,-0.3454180677440343,-0.1519786769483623
META,4,0.005,amazon/chronos-2,60,True,long_short,,0.5020242914979757,0.5255696873343931,62,24,38,0,0.45161290322580644,-0.47547785137821075,-0.17852992430639925
META,5,0.005,amazon/chronos-2,60,True,long_short,,0.4959349593495935,0.5151824618736384,50,20,30,0,0.34,-2.053480637701087,-0.5182863486080402
META,6,0.0075,amazon/chronos-2,60,True,long_short,,0.4816326530612245,0.5094000271480927,41,9,32,0,0.4146341463414634,-0.9516653793168872,-0.2836949587517893
META,7,0.01,amazon/chronos-2,60,True,long_short,,0.4713114754098361,0.5033020152505447,35,6,29,0,0.4,-1.1740199263519602,-0.3364549959400097
META,8,0.015,amazon/chronos-2,60,True,long_short,,0.48148148148148145,0.5166099387338325,31,3,28,0,0.3225806451612903,-3.0203165161094283,-0.5924390679857363
META,9,0.0175,amazon/chronos-2,60,True,long_short,,0.5082644628099173,0.5140787315472936,27,2,25,0,0.4074074074074074,-0.8015423217378707,-0.2849486645075374
META,10,0.017,amazon/chronos-2,60,True,long_short,,0.4896265560165975,0.5130779848171153,25,2,23,0,0.32,-1.520321317805601,-0.4445394322200845
