Stock,Horizon,BestThreshold,Model,ContextLength,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_LongTrades,Val_ShortTrades,Val_WinRate,Val_Sharpe,Val_TotalReturn,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_LongTrades,Test_ShortTrades,Test_WinRate,Test_Sharpe,Test_TotalReturn
SPY,2,0.0025,FinCast,128,0.5443548387096774,0.5351938589643508,124,37,87,0.3629032258064516,-1.8742776941455979,-0.23192584230637703,0.5204918032786885,0.5541221527917759,122,33,89,0.4344262295081967,-1.960738746436043,-0.23099506016813898
SPY,5,0.005,FinCast,128,0.4897959183673469,0.49446666666666667,49,15,34,0.40816326530612246,-0.689116276690818,-0.08772128684646086,0.4854771784232365,0.4839424141749723,49,6,43,0.40816326530612246,-2.0709979203972106,-0.24663356685146287
SPY,10,0.017,FinCast,128,0.5833333333333334,0.528452979944724,24,2,22,0.2916666666666667,-1.9551816662601302,-0.19405497364216462,0.5423728813559322,0.5420067904355992,24,0,24,0.2916666666666667,-2.590237655448947,-0.22730748219990737
