Stock,Horizon,BestThreshold,Model,ContextLength,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_LongTrades,Val_ShortTrades,Val_WinRate,Val_Sharpe,Val_TotalReturn,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_LongTrades,Test_ShortTrades,Test_WinRate,Test_Sharpe,Test_TotalReturn
AAPL,2,0.0025,FinCast,128,0.49193548387096775,0.4837708986415883,124,45,79,0.47580645161290325,-0.12859993386919377,-0.050434569304756316,0.4672131147540984,0.4855510752688172,122,51,71,0.4098360655737705,-0.2754011124822348,-0.08384011581131645
AAPL,5,0.005,FinCast,128,0.4775510204081633,0.5025850340136054,49,16,33,0.40816326530612246,-1.509609713803714,-0.2755280656910446,0.4605809128630705,0.4532739328636552,49,24,25,0.3877551020408163,0.3799364230328193,0.06762854170159516
AAPL,10,0.017,FinCast,128,0.45416666666666666,0.48042580012605923,24,3,21,0.2916666666666667,-0.7057360190221288,-0.1585757063986757,0.5296610169491526,0.502039627039627,24,5,19,0.4583333333333333,-0.11740911003609364,-0.04762390020484797
