Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_LongTrades,Val_ShortTrades,Val_Skipped,Val_WinRate,Val_Sharpe,Val_TotalReturn,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_LongTrades,Test_ShortTrades,Test_Skipped,Test_WinRate,Test_Sharpe,Test_TotalReturn
SPY,2,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.5241935483870968,0.5390970595888629,124,38,86,0,0.4032258064516129,-1.5855337506994034,-0.2015916838148455,0.5450819672131147,0.5644695289928106,122,34,88,0,0.36885245901639346,-3.974294178346182,-0.39655125974535654
SPY,5,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.5306122448979592,0.5578666666666667,49,21,28,0,0.6326530612244898,1.4828355478345268,0.18348213632127042,0.5228215767634855,0.541735880398671,49,24,25,0,0.5102040816326531,0.4526996699507976,0.05397113562248923
SPY,10,0.017,Fine-tuned,long_short,,0.0001,1000,False,0.625,0.6562256395719651,24,5,19,0,0.5,0.07251799397143509,0.0017770972245614303,0.576271186440678,0.6364227407353896,24,3,21,0,0.25,-3.6865442035868683,-0.2807018874568946
