Stock,Horizon,BestThreshold,Model,ContextLength,UseCovariates,Strategy,ConfidenceThreshold,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_LongTrades,Val_ShortTrades,Val_Skipped,Val_WinRate,Val_Sharpe,Val_TotalReturn,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_LongTrades,Test_ShortTrades,Test_Skipped,Test_WinRate,Test_Sharpe,Test_TotalReturn
NVDA,2,0.0025,amazon/chronos-2,60,True,long_short,,0.4879032258064516,0.5145586297760212,124,50,74,0,0.4274193548387097,-2.154784442718444,-0.6540077986985924,0.5122950819672131,0.4966856060606061,122,55,67,0,0.4918032786885246,0.39180553200012513,0.07350500559677609
NVDA,5,0.005,amazon/chronos-2,60,True,long_short,,0.4897959183673469,0.5386315789473685,49,19,30,0,0.5102040816326531,0.20753755092822684,-0.0068801057005839494,0.46887966804979253,0.44939342643532226,49,25,24,0,0.4489795918367347,-0.35981536779084206,-0.3005616862441173
NVDA,10,0.017,amazon/chronos-2,60,True,long_short,,0.4791666666666667,0.577312300022323,24,6,18,0,0.4166666666666667,-0.6243429174133119,-0.3515911766381986,0.4406779661016949,0.4281277728482698,24,8,16,0,0.4166666666666667,-1.1737768096934713,-0.4758500170884079
