Stock,Horizon,BestThreshold,Model,ContextLength,UseCovariates,Strategy,ConfidenceThreshold,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_LongTrades,Val_ShortTrades,Val_Skipped,Val_WinRate,Val_Sharpe,Val_TotalReturn,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_LongTrades,Test_ShortTrades,Test_Skipped,Test_WinRate,Test_Sharpe,Test_TotalReturn
AAPL,2,0.0025,amazon/chronos-2,60,False,long_short,,0.5241935483870968,0.5379440961337513,124,45,79,0,0.4838709677419355,-0.7550495057062396,-0.17168234325161746,0.4672131147540984,0.4290994623655914,122,44,78,0,0.4016393442622951,-1.0899937993092577,-0.2358475539380167
AAPL,5,0.005,amazon/chronos-2,60,False,long_short,,0.5387755102040817,0.5820068027210884,49,13,36,0,0.42857142857142855,-0.9254738637117659,-0.18911329319092518,0.43568464730290457,0.4184279596629369,49,20,29,0,0.42857142857142855,-0.4502289150845442,-0.13494152306323592
AAPL,10,0.017,amazon/chronos-2,60,False,long_short,,0.4791666666666667,0.5136914349744379,24,6,18,0,0.25,-2.4955284234633726,-0.390145663570024,0.4915254237288136,0.4442380536130536,24,6,18,0,0.5,0.3624874754310766,0.05704050667304106
