Stock,Horizon,BestThreshold,Model,ContextLength,UseCovariates,Strategy,ConfidenceThreshold,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_LongTrades,Val_ShortTrades,Val_Skipped,Val_WinRate,Val_Sharpe,Val_TotalReturn,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_LongTrades,Test_ShortTrades,Test_Skipped,Test_WinRate,Test_Sharpe,Test_TotalReturn
TSLA,2,0.0025,amazon/chronos-2,60,True,long_short,,0.4959677419354839,0.5203942232630757,124,51,73,0,0.5161290322580645,-0.15764635276858951,-0.18433461792141603,0.5,0.4770833333333334,122,51,71,0,0.47540983606557374,-0.43806802032830394,-0.38006965209900523
TSLA,5,0.005,amazon/chronos-2,60,True,long_short,,0.5142857142857142,0.506990633907968,49,15,34,0,0.4897959183673469,0.028660714080677184,-0.13009526099217483,0.5560165975103735,0.5526388314730605,49,24,25,0,0.5102040816326531,0.7556434984377086,0.3263347833519472
TSLA,10,0.017,amazon/chronos-2,60,True,long_short,,0.5083333333333333,0.5233505775636028,24,10,14,0,0.4583333333333333,-0.13034674285914982,-0.22018063748937844,0.4745762711864407,0.4759850445786597,24,7,17,0,0.5,-0.07874036904362638,-0.16127801035981237
