Stock,Horizon,BestThreshold,Model,ContextLength,UseCovariates,Strategy,ConfidenceThreshold,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_LongTrades,Val_ShortTrades,Val_Skipped,Val_WinRate,Val_Sharpe,Val_TotalReturn,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_LongTrades,Test_ShortTrades,Test_Skipped,Test_WinRate,Test_Sharpe,Test_TotalReturn
NVDA,2,0.0025,amazon/chronos-2,60,False,long_short,,0.4959677419354839,0.5206851119894598,124,53,71,0,0.43548387096774194,-2.0795876086818783,-0.6425409826818789,0.5204918032786885,0.4972267316017316,122,58,64,0,0.4672131147540984,0.46945148359520766,0.1171822138657701
NVDA,5,0.005,amazon/chronos-2,60,False,long_short,,0.5346938775510204,0.5692982456140351,49,16,33,0,0.4897959183673469,0.024016852192504736,-0.08378500883453965,0.46887966804979253,0.4457963041331641,49,24,25,0,0.46938775510204084,0.3659711724495295,0.05085023261467536
NVDA,10,0.017,amazon/chronos-2,60,False,long_short,,0.5041666666666667,0.5543195178212664,24,5,19,0,0.375,-1.5235984839356747,-0.5600315350677216,0.423728813559322,0.40794143744454303,24,7,17,0,0.375,-2.432201566331691,-0.6610329385855922
