Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_LongTrades,Val_ShortTrades,Val_Skipped,Val_WinRate,Val_Sharpe,Val_TotalReturn,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_LongTrades,Test_ShortTrades,Test_Skipped,Test_WinRate,Test_Sharpe,Test_TotalReturn
NVDA,2,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.5362903225806451,0.533794466403162,124,57,67,0,0.4435483870967742,-2.0260371568108586,-0.6339091517722812,0.48770491803278687,0.48789231601731603,122,58,64,0,0.45081967213114754,-0.03453389088538995,-0.13537689410178222
NVDA,5,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.6,0.6037192982456141,49,19,30,0,0.5102040816326531,0.35210490728965155,0.058460750131384964,0.47717842323651455,0.46868387642826914,49,10,39,0,0.42857142857142855,-1.7082189519273099,-0.6561139797658132
NVDA,10,0.017,Fine-tuned,long_short,,0.0001,1000,False,0.5916666666666667,0.5860555100825955,24,14,10,0,0.6666666666666666,1.08801597180314,0.5012288802070191,0.4110169491525424,0.4216208222419403,24,2,22,0,0.5,-0.8690885852011,-0.3932579738244679
