Date,weighted_sentiment
2020-01-01,0.7725198511405789
2020-01-02,0.6761239461144558
2020-01-03,0.6621408073926022
2020-01-04,0.5629844555422074
2020-01-05,0.8397094018815733
2020-01-06,0.704148466712372
2020-01-07,0.7246488303999321
2020-01-08,0.6883014543504303
2020-01-09,0.7163932634800066
2020-01-10,0.5484588833816083
2020-01-11,0.7451195930000001
2020-01-12,0.8081883061817501
2020-01-13,0.4982455637188322
2020-01-14,0.7605923458108442
2020-01-15,0.6432798653148548
2020-01-16,0.7616887702068267
2020-01-17,0.6847101366820824
2020-01-18,0.7865659531912738
2020-01-19,0.9088126105617588
2020-01-20,0.793762707541861
2020-01-21,0.6665491789943436
2020-01-22,0.7522332913930726
2020-01-23,0.5581808336971876
2020-01-24,0.553365897737001
2020-01-25,0.4662211799866778
2020-01-26,0.592222847756097
2020-01-27,0.6667149410364676
2020-01-28,0.6686556349484057
2020-01-29,0.6309964880967264
2020-01-30,0.6666320729814516
2020-01-31,0.6851719126141488
2020-02-01,0.7445953804769417
2020-02-02,0.7418500529755769
2020-02-03,0.6173905823104893
2020-02-04,0.6780137589045114
2020-02-05,0.63384757624378
2020-02-06,0.8044549227797669
2020-02-07,0.5828163514710039
2020-02-08,0.7639443805474245
2020-02-09,0.8212734001158334
2020-02-10,0.6745394689118309
2020-02-11,0.6005905686151848
2020-02-12,0.5695628157039268
2020-02-13,0.6184640407126287
2020-02-14,0.5878777393328997
2020-02-15,0.7439070688020785
2020-02-16,0.8463903340617103
2020-02-17,0.67947679238349
2020-02-18,0.5973240966798095
2020-02-19,0.711310618510791
2020-02-20,0.649093797058357
2020-02-21,0.6122177878607055
2020-02-22,0.5744870133371389
2020-02-23,0.6035785229420424
2020-02-24,0.6716623582394293
2020-02-25,0.5284131807950426
2020-02-26,0.5883348784361478
2020-02-27,0.5729705681575962
2020-02-28,0.601873195446071
2020-02-29,0.6476177172343863
2020-03-01,0.6464160996671032
2020-03-02,0.6283982257425494
2020-03-03,0.5847118867975107
2020-03-04,0.6091169369374019
2020-03-05,0.6426084479240703
2020-03-06,0.6909786925804873
2020-03-07,0.6322144292948236
2020-03-08,0.7465560644349205
2020-03-09,0.6129796082927909
2020-03-10,0.5422266067070362
2020-03-11,0.5534851581633559
2020-03-12,0.670109993965175
2020-03-13,0.6456259908869457
2020-03-14,0.5219981753788694
2020-03-15,0.6024824159054544
2020-03-16,0.6734711997365419
2020-03-17,0.5641789634527089
2020-03-18,0.5832756864006549
2020-03-19,0.6456316545503753
2020-03-20,0.5633792467046836
2020-03-21,0.6552448454774361
2020-03-22,0.44468650748908667
2020-03-23,0.5918910511456306
2020-03-24,0.6441760744868749
2020-03-25,0.5909087405193615
2020-03-26,0.6234687465349481
2020-03-27,0.5612246220943694
2020-03-28,0.7479207934546928
2020-03-29,0.5385405779313129
2020-03-30,0.6130968234640681
2020-03-31,0.6437560740846345
2020-04-01,0.7178529704712961
2020-04-02,0.6088935184373072
2020-04-03,0.6026878128599942
2020-04-04,0.7459292735533107
2020-04-05,0.7254922876981916
2020-04-06,0.6403306900973073
2020-04-07,0.5906007489980074
2020-04-08,0.562034785752173
2020-04-09,0.5583979140865757
2020-04-10,0.7857642169144586
2020-04-11,0.4146778838328875
2020-04-12,0.7448460989364705
2020-04-13,0.5482439510671365
2020-04-14,0.6125474701554063
2020-04-15,0.6476235242038337
2020-04-16,0.6198014191916031
2020-04-17,0.5844911222654592
2020-04-18,0.7056847931636839
2020-04-19,0.6586564481973718
2020-04-20,0.6490538589099042
2020-04-21,0.6890959922244657
2020-04-22,0.7076767940910742
2020-04-23,0.5787184643882843
2020-04-24,0.5721876323384913
2020-04-25,0.7931514427024287
2020-04-26,0.6566615349124468
2020-04-27,0.6688954668956989
2020-04-28,0.6300939078530131
2020-04-29,0.6723061125520523
2020-04-30,0.5876859671214505
2020-05-01,0.5124787354758444
2020-05-02,0.48927907220259675
2020-05-03,0.6688240388685749
2020-05-04,0.5652306435213015
2020-05-05,0.6669892697382924
2020-05-06,0.6529217767436489
2020-05-07,0.5497950559328129
2020-05-08,0.6120530562483489
2020-05-09,0.5838847217021622
2020-05-10,0.6451692567968318
2020-05-11,0.563633707158342
2020-05-12,0.6223242855193187
2020-05-13,0.5938716890432996
2020-05-14,0.6387390104892988
2020-05-15,0.6477875574072761
2020-05-16,0.6570375248172621
2020-05-17,0.6156963559849421
2020-05-18,0.5968743624644653
2020-05-19,0.61295426317782
2020-05-20,0.6714599117457963
2020-05-21,0.6153510461104988
2020-05-22,0.5718860006314855
2020-05-23,0.629783908727259
2020-05-24,0.7334573184038352
2020-05-25,0.6532714368603761
2020-05-26,0.6371119081953946
2020-05-27,0.6382256718506012
2020-05-28,0.7275629444058095
2020-05-29,0.6445736689444667
2020-05-30,0.6616774364919275
2020-05-31,0.7737957516901849
2020-06-01,0.648538804610186
2020-06-02,0.6422622602509486
2020-06-03,0.5514285997701492
2020-06-04,0.7268553174274555
2020-06-05,0.7605385955393098
2020-06-06,0.5947516585129683
2020-06-07,0.640676692586236
2020-06-08,0.6727074534859053
2020-06-09,0.5990711728767075
2020-06-10,0.6476305946699935
2020-06-11,0.6383070986472825
2020-06-12,0.5804919566131044
2020-06-13,0.5242435316947108
2020-06-14,0.672540736314042
2020-06-15,0.6576627348389706
2020-06-16,0.6078312947402302
2020-06-17,0.5868481505313121
2020-06-18,0.5849363097807738
2020-06-19,0.6561264518855614
