Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
META,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4899598393574297,0.5197153675414545,125,52,73,0,0.464,-0.4252521871674297,-0.18545688401580496
META,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4959677419354839,0.5476425330439928,83,39,44,0,0.5421686746987951,0.3527068078222716,0.06541088258049488
META,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5060728744939271,0.49748277689454157,62,25,37,0,0.46774193548387094,-0.3798007220203534,-0.15397180000681532
META,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4715447154471545,0.46384803921568635,50,18,32,0,0.34,-1.3866350502972733,-0.4144070428963528
META,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.45714285714285713,0.474073571331614,41,11,30,0,0.36585365853658536,-1.9993885817765509,-0.4626400238949192
META,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.45081967213114754,0.4624863834422658,35,7,28,0,0.4,-1.1773525427536964,-0.337109906056141
META,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.448559670781893,0.4699115044247788,31,3,28,0,0.3225806451612903,-3.0203165161094283,-0.5924390679857363
META,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.4669421487603306,0.45079278294149816,27,2,25,0,0.4074074074074074,-0.8015423217378707,-0.2849486645075374
META,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.48132780082987553,0.4614906832298136,25,3,22,0,0.28,-2.6373206547071755,-0.5866102538933126
