Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
TSLA,2,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.4979919678714859,0.478176652892562,125,71,54,0,0.536,2.1618006228277378,2.2397387377572304
TSLA,3,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.4879032258064516,0.48978662503252673,83,52,31,0,0.4819277108433735,-0.07874108148657491,-0.21101729562888594
TSLA,4,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.5263157894736842,0.5491394034949416,62,38,24,0,0.5967741935483871,0.9305263388461308,0.4781132463011266
TSLA,5,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.5121951219512195,0.5374735169491525,50,32,18,0,0.5,0.3074935057423007,-0.0027536682627071762
TSLA,6,0.0075,Fine-tuned,long_short,,0.0001,1000,False,0.5306122448979592,0.514813826237822,41,23,18,0,0.43902439024390244,1.3881709181429631,0.95920514821134
TSLA,7,0.01,Fine-tuned,long_short,,0.0001,1000,False,0.5,0.47563025210084037,35,18,17,0,0.45714285714285713,0.990136394393295,0.5741828442578034
TSLA,8,0.015,Fine-tuned,long_short,,0.0001,1000,False,0.49794238683127573,0.47649051490514904,31,12,19,0,0.3870967741935484,-1.1144636249113986,-0.5695494524767909
TSLA,9,0.0175,Fine-tuned,long_short,,0.0001,1000,False,0.49586776859504134,0.46473482777474034,27,11,16,0,0.48148148148148145,-0.02148801242503933,-0.18989258281606425
TSLA,10,0.017,Fine-tuned,long_short,,0.0001,1000,False,0.46887966804979253,0.4653533544565367,25,11,14,0,0.56,0.3427395020154281,0.005988933951855735
