Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,n_estimators,max_depth,learning_rate,num_leaves,subsample,colsample_bytree,reg_alpha,reg_lambda,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
TSLA,2,0.0025,long_short,,362,5,0.29999999999999993,35,0.9823355158396698,1.0,2.5154847181559497,0.42727162143698877,0.7673956262425448,0.8435306393473724,0.5258964143426295,0.5246980292434839,125,88,37,0,0.52,1.2506828475129015,0.8144067323882065
TSLA,3,0.005,long_short,,318,6,0.2751670824830765,39,0.7036097395295258,0.6729883715945,8.880124178326787,5.653778048194081,0.614314115308151,0.6581670771189021,0.4820717131474104,0.47080152671755726,83,68,15,0,0.6024096385542169,1.832017089826469,1.608677937116458
TSLA,4,0.005,long_short,,281,3,0.19483923829861924,20,0.8566051257014156,1.0,10.0,9.61210810159914,0.6292246520874751,0.66372695900353,0.5139442231075697,0.5455588122849497,62,58,4,0,0.5483870967741935,1.3436871873300629,0.9537984121296532
TSLA,5,0.01,long_short,,50,12,0.01,100,1.0,1.0,10.0,10.0,0.6262425447316103,0.6447501037528902,0.5219123505976095,0.5354725415070242,50,42,8,0,0.54,1.7438588480808317,1.4201216990257772
TSLA,6,0.01,long_short,,500,8,0.016334424486429414,36,0.5,0.5,0.6484365640272536,0.0,0.7922465208747514,0.8835733116213257,0.50199203187251,0.5224104859335038,41,30,11,0,0.4146341463414634,-0.2962862797002448,-0.3016925433106381
TSLA,7,0.0125,long_short,,293,12,0.29999999999999993,26,0.5081935399717155,0.9102125555683178,10.0,0.0,0.6550695825049702,0.7042588932806324,0.5059760956175299,0.4556194125159642,35,30,5,0,0.4857142857142857,1.4297931680375136,1.173092894612357
TSLA,8,0.017499999999999998,long_short,,500,3,0.01024300164293376,20,0.7119825838674942,1.0,8.533149414857622,10.0,0.6650099403578529,0.7185707792336119,0.46613545816733065,0.4655907817672524,31,25,6,0,0.6774193548387096,2.8147700692134596,3.373191878639176
TSLA,9,0.0225,long_short,,249,4,0.1290870928787394,71,0.8356714338737486,0.7843435638923624,10.0,2.2349446259771875,0.6282306163021869,0.7066816077915199,0.5139442231075697,0.495076726342711,27,23,4,0,0.6296296296296297,2.229072805633663,2.2795956670890036
TSLA,10,0.0225,long_short,,50,12,0.29999999999999993,20,1.0,1.0,10.0,10.0,0.647117296222664,0.7162312791263,0.5179282868525896,0.4679495348540844,25,20,5,0,0.6,2.39825962209131,2.8298334018906086
