Stock,Avg_Accuracy,Avg_ROC_AUC,Avg_Trades,Avg_WinRate,Avg_Sharpe,Avg_TotalReturn
AAPL,0.5261,0.5151,53.2222,0.4571,-0.8496,-0.1617
META,0.4713,0.5885,53.2222,0.381,-1.3209,-0.3591
NVDA,0.4594,0.5809,53.2222,0.3567,-1.6764,-0.5647
SPY,0.4892,0.5823,53.2222,0.3535,-2.1072,-0.2213
TSLA,0.5165,0.5266,53.2222,0.5731,1.6754,1.5971
