Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,learning_rate,dropout_rate,lstm_units_1,lstm_units_2,batch_size,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,long_short,,0.0013250008535284396,0.2686969388612833,94,60,16,0.5573770491803278,0.6220542538002857,0.502262443438914,0.5239148239148239,125,67,58,0,0.448,-0.5886534508497595,-0.152872148025061
AAPL,3,0.005,long_short,,0.002633695176453541,0.4119969138186209,96,24,45,0.6239754098360656,0.7225092839979163,0.5067873303167421,0.49622641509433957,83,47,36,0,0.43373493975903615,-1.7000876495823303,-0.3219816601588167
AAPL,4,0.005,long_short,,0.00015847101210439096,0.28369955678634695,107,32,47,0.617827868852459,0.6749809924263745,0.497737556561086,0.48741513495611855,62,11,51,0,0.45161290322580644,-0.5766479160924115,-0.13453487558217003
AAPL,5,0.005,long_short,,0.0009679922845612535,0.18956525987102002,71,95,44,0.5727459016393442,0.7046896719707374,0.5203619909502263,0.4811801446416831,50,2,48,0,0.4,-1.198736852215635,-0.2802030387945791
AAPL,6,0.0075,long_short,,0.003918194347141745,0.17337391594646553,207,83,37,0.5747950819672131,0.6928637432795697,0.4479638009049774,0.457002457002457,41,22,19,0,0.4878048780487805,-0.4618253246749276,-0.10924777530425667
AAPL,7,0.01,long_short,,0.0017177621112338384,0.3446612641953124,34,19,41,0.7602459016393442,0.8545239975137333,0.583710407239819,0.529126213592233,35,0,35,0,0.3142857142857143,-1.532946397047628,-0.29907669458910335
AAPL,8,0.0125,long_short,,0.00019355265152338233,0.457940703661313,48,115,37,0.7161885245901639,0.7969754618489076,0.6199095022624435,0.5281759762728622,31,1,30,0,0.4838709677419355,-1.6694592993909247,-0.2994897087601647
AAPL,9,0.015000000000000001,long_short,,0.00015847101210439096,0.28369955678634695,107,32,47,0.7295081967213115,0.7919753086419752,0.5520361990950227,0.5248477867368767,27,0,27,0,0.4444444444444444,-1.527094470841217,-0.2751000637015627
AAPL,10,0.015000000000000001,long_short,,0.0005594257972213419,0.5,256,16,64,0.735655737704918,0.8249984252629811,0.5429864253393665,0.5505332239540608,25,10,15,0,0.56,0.27641454321308156,0.03680597307000655
