Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,n_estimators,max_depth,learning_rate,num_leaves,subsample,colsample_bytree,reg_alpha,reg_lambda,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,long_short,,50,3,0.17036047108882513,88,0.9102310874172833,1.0,0.8070733449709195,5.929754239016951,0.6441351888667992,0.7057013435154332,0.4860557768924303,0.45071138211382117,125,75,50,0,0.488,-0.45257062034392126,-0.12543599792287086
AAPL,3,0.005,long_short,,241,3,0.01,79,1.0,0.6920663295395624,0.0,0.0,0.6441351888667992,0.7072505880725058,0.5179282868525896,0.5013075647404006,83,29,54,0,0.43373493975903615,-1.1872146701098207,-0.24571001595166042
AAPL,4,0.005,long_short,,344,12,0.01,20,1.0,0.5,0.0,0.0,0.7415506958250497,0.818155750672362,0.49800796812749004,0.5116724071947952,62,43,19,0,0.6290322580645161,0.39844734549788546,0.06321859844268674
AAPL,5,0.005,long_short,,418,3,0.01,20,0.7303863087004263,0.8769808618212942,1.0034301331902447,0.0,0.6381709741550696,0.7088215528146743,0.5059760956175299,0.5258423394787031,50,32,18,0,0.5,1.1866697941087951,0.3073405896138588
AAPL,6,0.0075,long_short,,50,3,0.29999999999999993,72,0.5,0.5,0.0,1.0471271876142292,0.7017892644135189,0.7854771062524458,0.4900398406374502,0.5118457825203252,41,25,16,0,0.4634146341463415,-0.6242074984959445,-0.13831948154800044
AAPL,7,0.01,long_short,,50,3,0.29999999999999993,100,0.8290284650303101,1.0,0.0,0.0,0.7326043737574552,0.8187519022265438,0.549800796812749,0.484872816032888,35,20,15,0,0.4,-1.3542047318606325,-0.27126829134998287
AAPL,8,0.0125,long_short,,75,3,0.22375335184269393,62,0.5705029797095887,0.7610906631025831,0.027726044103236112,8.704616002583515,0.7216699801192843,0.7877322876354393,0.5418326693227091,0.5137709137709138,31,18,13,0,0.4838709677419355,0.4114611954306418,0.06621690269240643
AAPL,9,0.015000000000000001,long_short,,500,3,0.01,99,1.0,1.0,0.0,0.0,0.7137176938369781,0.7800939100739899,0.5298804780876494,0.5081898766700925,27,14,13,0,0.7407407407407407,1.399866832759405,0.29024082626916936
AAPL,10,0.015000000000000001,long_short,,50,12,0.29999999999999993,100,0.5,1.0,0.0,0.0,0.9254473161033797,0.9794413875976347,0.5418326693227091,0.49395780051150895,25,11,14,0,0.6,0.5025221875983453,0.08996135065837829
