Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,learning_rate,dropout_rate,lstm_units_1,lstm_units_2,batch_size,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,long_short,,0.0013250008535284396,0.2686969388612833,94,60,16,0.5573770491803278,0.6220542538002857,0.502262443438914,0.5239148239148239,125,67,58,0,0.448,-0.5886534508497595,-0.152872148025061
AAPL,3,0.005,long_short,,0.002633695176453541,0.4119969138186209,96,24,45,0.6239754098360656,0.7225092839979163,0.5067873303167421,0.49622641509433957,83,47,36,0,0.43373493975903615,-1.7000876495823303,-0.3219816601588167
AAPL,4,0.005,long_short,,0.00015847101210439096,0.28369955678634695,107,32,47,0.617827868852459,0.6749809924263745,0.497737556561086,0.48741513495611855,62,11,51,0,0.45161290322580644,-0.5766479160924115,-0.13453487558217003
AAPL,5,0.005,long_short,,0.0009679922845612535,0.18956525987102002,71,95,44,0.5727459016393442,0.7046896719707374,0.5203619909502263,0.4811801446416831,50,2,48,0,0.4,-1.198736852215635,-0.2802030387945791
AAPL,6,0.0075,long_short,,0.003918194347141745,0.17337391594646553,207,83,37,0.5747950819672131,0.6928637432795697,0.4479638009049774,0.457002457002457,41,22,19,0,0.4878048780487805,-0.4618253246749276,-0.10924777530425667
AAPL,7,0.01,long_short,,0.0017177621112338384,0.3446612641953124,34,19,41,0.7602459016393442,0.8545239975137333,0.583710407239819,0.529126213592233,35,0,35,0,0.3142857142857143,-1.532946397047628,-0.29907669458910335
AAPL,8,0.0125,long_short,,0.00019355265152338233,0.457940703661313,48,115,37,0.7161885245901639,0.7969754618489076,0.6199095022624435,0.5281759762728622,31,1,30,0,0.4838709677419355,-1.6694592993909247,-0.2994897087601647
AAPL,9,0.015000000000000001,long_short,,0.00015847101210439096,0.28369955678634695,107,32,47,0.7295081967213115,0.7919753086419752,0.5520361990950227,0.5248477867368767,27,0,27,0,0.4444444444444444,-1.527094470841217,-0.2751000637015627
AAPL,10,0.015000000000000001,long_short,,0.0005594257972213419,0.5,256,16,64,0.735655737704918,0.8249984252629811,0.5429864253393665,0.5505332239540608,25,10,15,0,0.56,0.27641454321308156,0.03680597307000655
META,2,0.0025,long_short,,0.009617892795055611,0.4160900824888992,127,36,16,0.5133196721311475,0.5121712584455558,0.47058823529411764,0.45586785009861935,125,0,125,0,0.408,-1.778811062782762,-0.48512024290081157
META,3,0.0025,long_short,,0.009636670654892413,0.3374488104263662,256,119,37,0.5256147540983607,0.538795728186327,0.4796380090497738,0.49495818986719126,83,0,83,0,0.3493975903614458,-1.7929293755013551,-0.47069942154727873
META,4,0.005,long_short,,0.0016595613641357258,0.4332779646944659,71,60,25,0.5297131147540983,0.6397063764026071,0.497737556561086,0.6450040950040951,62,0,62,0,0.4032258064516129,-1.9036904459888522,-0.46262866256128765
META,5,0.005,long_short,,0.004970087975115067,0.46864076279698286,121,16,46,0.5020491803278688,0.5556827154064542,0.5384615384615384,0.4921104536489151,50,50,0,0,0.6,1.578972138627463,0.6302515508117874
META,6,0.0075,long_short,,0.0001411128364163201,0.39109998782898625,111,32,36,0.5450819672131147,0.5565876108572964,0.48868778280542985,0.600950508030154,41,0,41,0,0.34146341463414637,-1.8850047617923165,-0.448020620317209
META,7,0.0075,long_short,,0.00016016374758762785,0.21214020203775172,120,45,56,0.5471311475409836,0.5785515425605624,0.48868778280542985,0.6105375286791217,35,0,35,0,0.34285714285714286,-1.7079865749536804,-0.43084021047522214
META,8,0.01,long_short,,0.007216631045748683,0.47137866196970846,183,119,56,0.5245901639344263,0.5519111570247934,0.49321266968325794,0.5349237579931136,31,2,29,0,0.41935483870967744,-0.8842321060324561,-0.2854407699434589
META,9,0.01,long_short,,0.002251657173513457,0.2878703498382224,32,128,48,0.5153688524590164,0.6424872424872423,0.5248868778280543,0.69376026272578,27,0,27,0,0.3333333333333333,-1.5599032166728786,-0.43773719717122117
META,10,0.015000000000000001,long_short,,0.006508145804938038,0.1971624644261703,193,69,37,0.5471311475409836,0.5750440917107584,0.5520361990950227,0.5812220566318926,25,0,25,0,0.32,-1.4442458786378163,-0.43094139494727224
NVDA,2,0.005,long_short,,0.0033309292883818994,0.4303116014873851,49,97,24,0.5399590163934426,0.605559754766104,0.5203619909502263,0.5282430213464695,125,1,124,0,0.432,-2.068184259173552,-0.6733257061845397
NVDA,3,0.0075,long_short,,0.0027530843248058457,0.1,250,72,25,0.507172131147541,0.5669473197975938,0.5203619909502263,0.5814067879980324,83,9,74,0,0.4457831325301205,-1.155119660556357,-0.53164627677009
NVDA,4,0.0125,long_short,,0.002869433114734095,0.5,213,19,64,0.5440573770491803,0.5930172008331653,0.5384615384615384,0.5734058329214038,62,0,62,0,0.3870967741935484,-2.1035445555495067,-0.6765495163419737
NVDA,5,0.0125,long_short,,0.003126837452452042,0.40027289567227586,125,48,51,0.5881147540983607,0.6541405662477996,0.5067873303167421,0.5502129750982961,50,0,50,0,0.34,-1.7170498753741483,-0.66683239253883
NVDA,6,0.015000000000000001,long_short,,0.002267585589252377,0.13563939673388253,59,86,28,0.5645491803278688,0.7297682035777274,0.4796380090497738,0.3943396226415094,41,0,41,0,0.2926829268292683,-1.915075531218128,-0.6690667772196037
NVDA,7,0.017499999999999998,long_short,,0.002250663466035197,0.2493949963702716,248,83,16,0.5717213114754098,0.6028257226028404,0.42081447963800905,0.42406311637080873,35,12,23,0,0.42857142857142855,-0.9187821365545776,-0.4170428462341137
NVDA,8,0.017499999999999998,long_short,,0.0012816141203153418,0.27448564962612354,250,70,62,0.7161885245901639,0.7835208257223601,0.4660633484162896,0.4760572650979101,31,0,31,0,0.22580645161290322,-2.124461527141745,-0.6663603400568665
NVDA,9,0.02,long_short,,0.005285799702226751,0.27169396638140175,71,20,18,0.6782786885245902,0.7469640217683418,0.46153846153846156,0.2977426264623496,27,0,27,0,0.37037037037037035,-1.6723794385532114,-0.6363821037131696
NVDA,10,0.0225,long_short,,0.0037482018686065687,0.12496244243286739,211,34,17,0.5122950819672131,0.5872553959855548,0.5656108597285068,0.5965192465192465,25,25,0,0,0.68,2.1814120400498527,1.7845104164219325
SPY,2,0.0025,long_short,,0.00627743975539249,0.42443638147674234,121,128,33,0.4969262295081967,0.5360975876133628,0.5113122171945701,0.5618949958982773,125,122,3,0,0.576,0.9228571562606943,0.11357707217463187
SPY,3,0.0025,long_short,,0.0017177621112338384,0.3446612641953124,34,19,41,0.6157786885245902,0.6925462706137475,0.4796380090497738,0.5441321499013807,83,20,63,0,0.4457831325301205,-1.223836907841425,-0.1504720162915475
SPY,4,0.005,long_short,,0.000515795364817583,0.1865949540385937,230,121,49,0.6987704918032787,0.7838473019276451,0.5610859728506787,0.5301974448315911,62,9,53,0,0.3870967741935484,-1.481209972582765,-0.18222214817658122
SPY,5,0.005,long_short,,0.00437044760909388,0.19132851706548365,127,81,21,0.5870901639344263,0.6238393408337849,0.5339366515837104,0.6170108161258604,50,0,50,0,0.36,-2.0321964884992276,-0.24537003597502993
SPY,6,0.005,long_short,,0.0003028558197672705,0.4328952239812449,48,121,35,0.5788934426229508,0.6913214741651549,0.502262443438914,0.4932841932841933,41,0,41,0,0.3170731707317073,-2.224069132219505,-0.24682657594360635
SPY,7,0.0075,long_short,,0.005883966657461732,0.25761617737259296,123,35,57,0.5133196721311475,0.6441071428571428,0.4841628959276018,0.6133792424987702,35,35,0,0,0.6571428571428571,1.9670667185242041,0.22317452472614985
SPY,8,0.0075,long_short,,0.00408429031127823,0.2414243521690878,208,47,21,0.5174180327868853,0.5650273292917072,0.502262443438914,0.55641592920354,31,0,31,0,0.3225806451612903,-3.058388862674446,-0.24766540946807458
SPY,9,0.01,long_short,,0.0048693330502526545,0.16721485050811274,200,58,16,0.5829918032786885,0.6295361737382403,0.5294117647058824,0.5162721893491125,27,0,27,0,0.25925925925925924,-2.0535945747133035,-0.22263196987861278
SPY,10,0.01,long_short,,0.0006305535040199287,0.11866626528544619,250,42,20,0.6485655737704918,0.714255715893628,0.5248868778280543,0.45061425061425064,25,0,25,0,0.32,-1.85595190640685,-0.2262568093023376
TSLA,2,0.0025,long_short,,0.0005899741796710488,0.10638650088808568,84,43,49,0.6024590163934426,0.7307461307461307,0.497737556561086,0.44954128440366975,125,108,17,0,0.552,1.4055409046210638,1.003902762723552
TSLA,3,0.005,long_short,,0.004134562256860011,0.43232360815114446,50,54,25,0.5963114754098361,0.644365590946312,0.4434389140271493,0.4498525073746313,83,63,20,0,0.4939759036144578,0.8264519772532443,0.3821846641048037
TSLA,4,0.005,long_short,,0.00782010220063356,0.10281692124259828,140,21,27,0.5983606557377049,0.6548196489990299,0.5203619909502263,0.5358722358722359,62,29,33,0,0.45161290322580644,0.7523036499572237,0.33485485683432015
TSLA,5,0.01,long_short,,0.008408235841381792,0.1,45,79,16,0.5840163934426229,0.6456146839890887,0.5113122171945701,0.4983611930514585,50,27,23,0,0.42,-1.8236173224121481,-0.7139897997893998
TSLA,6,0.01,long_short,,0.004695903036848635,0.1829267313533341,100,76,17,0.6157786885245902,0.6745960710158629,0.4841628959276018,0.47571780147662024,41,37,4,0,0.4634146341463415,1.1570555902120325,0.7026232034810735
TSLA,7,0.0125,long_short,,0.0016595613641357258,0.4332779646944659,71,60,25,0.819672131147541,0.899516221907456,0.4343891402714932,0.3968709043250328,35,20,15,0,0.34285714285714286,-0.7427054791004324,-0.4911149175686311
TSLA,8,0.017499999999999998,long_short,,0.006760795007228884,0.17155271454489202,57,73,35,0.6280737704918032,0.7221407285672855,0.502262443438914,0.45454545454545453,31,31,0,0,0.6129032258064516,1.204004109561376,0.7722450740214961
TSLA,9,0.0225,long_short,,0.0032413268041956303,0.2700623497964979,79,80,18,0.6977459016393442,0.7696824596774194,0.4298642533936652,0.3468416735028712,27,9,18,0,0.5555555555555556,0.24902052575310207,-0.039668749085093324
TSLA,10,0.0225,long_short,,0.003918194347141745,0.17337391594646553,207,83,37,0.6403688524590164,0.7214571563088512,0.3665158371040724,0.3599639462471321,25,22,3,0,0.6,1.9060069872696621,1.839858838813735
