Model,Strategy,Samples,Avg_Accuracy,Avg_ROC_AUC,Avg_Trades,Avg_WinRate,Avg_Sharpe,Avg_TotalReturn
LSTM,long_short,45,0.5023629964806433,0.5102336796845877,53.22222222222222,0.428465605826339,-0.8434514682738949,-0.1156304430696464
LSTM,long_only,21,0.49881491057961647,0.5466557451424879,8.952380952380953,0.30915179988602465,0.5258876265983441,0.1050877357762775
LSTM,long_short_confidence,21,0.49881491057961647,0.5466557451424879,16.0,0.2248066343650439,-0.5382964864918447,-0.15647904527381856
LSTM,long_only_confidence,21,0.49881491057961647,0.5466557451424879,1.380952380952381,0.07142857142857142,0.18942969260112447,0.022977316596797137
XGBoost,long_short,45,0.487826471890217,0.5216108041988983,53.22222222222222,0.42097064603917067,-0.9194659859612723,0.07402690241900049
XGBoost,long_only,21,0.47941567065073043,0.4894353616524366,5.380952380952381,0.16416382099611912,0.28545387971621405,0.15247683241046375
XGBoost,long_short_confidence,21,0.47941567065073043,0.4894353616524366,13.0,0.14144011423491867,-0.6993666671929788,-0.17361222271828863
XGBoost,long_only_confidence,21,0.47941567065073043,0.4894353616524366,0.6666666666666666,0.023809523809523808,0.03198293639711526,0.0031901264736198427
LightGBM,long_short,45,0.4892430278884462,0.5248637206155216,53.22222222222222,0.43020705582951635,-0.7603672667806493,0.058578736700479486
LightGBM,long_only,21,0.47732878011762475,0.49573965060405556,8.047619047619047,0.2206567690418622,0.35464224032317365,0.12180630223530964
LightGBM,long_short_confidence,21,0.47732878011762475,0.49573965060405556,22.61904761904762,0.2642747278673228,-0.9420134753125717,-0.19363097996444015
LightGBM,long_only_confidence,21,0.47732878011762475,0.49573965060405556,3.619047619047619,0.11421184635470351,0.240482777079959,0.03133006638867756
RandomForest,long_short,45,0.4876494023904383,0.5465318397713487,53.22222222222222,0.4164644161042852,-0.9347775470931388,0.053819517465370864
RandomForest,long_only,21,0.4767596281540505,0.509286740664614,8.047619047619047,0.35639835205052595,0.5830575675317639,0.1453491218780488
RandomForest,long_short_confidence,21,0.4773287801176248,0.5105991224998492,34.19047619047619,0.4074270507410126,-1.1018074659042054,-0.21359399584266728
RandomForest,long_only_confidence,21,0.4767596281540505,0.5088715393244895,3.2857142857142856,0.20052910052910053,0.5391462042465476,0.06610199459845899
GradientBoosting,long_short,45,0.4839309428950863,0.5335377421728258,53.22222222222222,0.43684612863497435,-0.7338700127071961,0.11421739067872222
GradientBoosting,long_only,21,0.48074369189907046,0.5002537043462815,11.095238095238095,0.3924783543980888,0.5746700776313522,0.11783259668634793
GradientBoosting,long_short_confidence,21,0.48074369189907046,0.5002537043462815,37.57142857142857,0.40350768020352634,-0.8663688983557781,-0.07698100912402582
GradientBoosting,long_only_confidence,21,0.48074369189907046,0.5002537043462815,8.047619047619047,0.2905035123488634,0.40275104319795835,0.1544559125139353
LogisticRegression,long_short,25,0.4937051792828685,0.6499392334482872,41.8,0.3972903225806452,-1.1576771621091568,-0.03860994424106976
LogisticRegression,long_only,21,0.4805539745778789,0.6177665786703672,1.4761904761904763,0.2046485260770975,0.3377668537282917,0.0974419785257838
LogisticRegression,long_short_confidence,21,0.4805539745778789,0.6177665786703672,14.333333333333334,0.15103717288395246,-0.7215790721100994,-0.13002947281606497
LogisticRegression,long_only_confidence,21,0.4805539745778789,0.6177665786703672,0.0,0.0,0.0,0.0
SVM,long_short,45,0.49774236387782195,0.6173527507655369,53.22222222222222,0.4080747092708962,-1.0399451796930785,0.051723299219328764
SVM,long_only,21,0.48377916903813317,0.5782926215308313,6.619047619047619,0.3774137725265545,0.6333336539586691,0.16282855982101221
SVM,long_short_confidence,21,0.48377916903813317,0.5782926215308313,14.476190476190476,0.3175379263267219,-0.6793734130514194,-0.1152499521588075
SVM,long_only_confidence,21,0.4852969076076646,0.5860956082262792,0.47619047619047616,0.13333333333333333,0.1153360164057776,0.002022779391495462
