Model,Strategy,Acc,AUC,N,Win%,Sharpe,Return%
LSTM,long_short,0.509502262443439,0.5526423229585173,45.2,60.34504181600956,1.8502369397981642,102.82023671281127
XGBoost,long_short,0.48844621513944225,0.5261266558223598,49.8,51.22647435620619,0.13290741990270732,44.431016234912576
LightGBM,long_short,0.5123505976095617,0.5448193506508279,69.8,58.763201911589015,0.952225227244394,68.85563701155087
RandomForest,long_short,0.48207171314741026,0.5573642807291819,51.4,50.023430126034086,-0.03768380187251781,50.3381655809897
GradientBoosting,long_short,0.49163346613545816,0.5510957989000317,50.2,45.741158181111544,-0.06844512367417846,72.56929030303925
LogisticRegression,long_short,0.47808764940239035,0.6291306596296545,64.8,46.091307669703205,0.053391824243905185,53.967072853921536
SVM,long_short,0.4956175298804781,0.5993995467928653,49.4,53.36729282722287,0.21366867408723172,72.29197591638788
