Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,n_estimators,max_depth,learning_rate,subsample,min_samples_split,min_samples_leaf,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
TSLA,2,0.0025,long_short,,246,6,0.22395638128094816,0.9103874319394664,16,1,1.0,1.0,0.5258964143426295,0.5122377622377623,125,86,39,0,0.528,1.559323769208444,1.207688611003717
TSLA,3,0.005,long_short,,305,3,0.17545136166066816,0.7248770666848829,9,9,0.8936381709741551,0.9570547054428733,0.4940239043824701,0.48047073791348605,83,55,28,0,0.5903614457831325,1.6333848956267933,1.2428091144829332
TSLA,4,0.005,long_short,,91,9,0.03672338759552655,0.9916154429033942,10,9,0.8677932405566601,0.9487909776932717,0.5298804780876494,0.5527590161845292,62,42,20,0,0.6612903225806451,3.0998170648861496,4.609890220854083
TSLA,5,0.01,long_short,,50,3,0.01,0.8188217235965052,20,1,0.6421471172962226,0.7031106104622439,0.5179282868525896,0.5295977011494253,50,42,8,0,0.54,1.7438588480808317,1.4201216990257772
TSLA,6,0.01,long_short,,50,3,0.024319914957769244,0.7110864120197197,6,8,0.6530815109343936,0.7413372646822841,0.5059760956175299,0.5485294117647058,41,36,5,0,0.5853658536585366,2.0760792941433355,1.8830736914111506
TSLA,7,0.0125,long_short,,322,4,0.29999999999999993,0.6164869862462465,13,10,0.9960238568588469,0.9998972332015811,0.5418326693227091,0.5278097062579821,35,17,18,0,0.45714285714285713,0.9066428837047305,0.5044211632122371
TSLA,8,0.017499999999999998,long_short,,50,3,0.01,1.0,20,10,0.6570576540755467,0.728278097270805,0.47410358565737054,0.4671823274764451,31,26,5,0,0.5806451612903226,1.8865590273748643,1.683553595025916
TSLA,9,0.0225,long_short,,500,6,0.29999999999999993,1.0,4,2,1.0,1.0,0.5219123505976095,0.5305626598465473,27,17,10,0,0.6296296296296297,0.3586810011988807,0.0260529500483051
TSLA,10,0.0225,long_short,,98,3,0.014472043765220877,1.0,19,1,0.6600397614314115,0.750350800219769,0.5059760956175299,0.4998407034535491,25,23,2,0,0.64,2.1699188236124156,2.3594673827910655
