Stock,Ablation,Model,Horizon,Threshold,Seed,Best_Params,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar,HParams
AAPL,full_70_30,gradient_boosting,2,0.0025,42,"{""n_estimators"": ""328"", ""learning_rate"": 0.08007296015034582, ""max_depth"": ""3""}",0.5362903225806451,0.5281478578892372,123,0.4878048780487805,1.9834893358450068,1.265775707732005,-0.0943450214650361,4.9662935610611045,0.5121951219512195,0.5161044973544973,122,0.4590163934426229,-0.3005559055197451,-0.1746356867594823,-0.2609747700080959,-0.5200402970289356,-0.6691669342368416,
AAPL,full_70_30,gradient_boosting,2,0.0025,7,"{""n_estimators"": ""50"", ""learning_rate"": 0.28809170937392187, ""max_depth"": ""7""}",0.5241935483870968,0.5366705851619644,123,0.4552845528455284,0.9525284391840312,0.4542400223678275,-0.1489048514094634,1.8442919752496767,0.516260162601626,0.5175925925925925,122,0.4590163934426229,0.5660146423463784,0.2343249860627589,-0.1482462047805162,1.097500074921658,1.580647453401491,
AAPL,full_70_30,gradient_boosting,2,0.0025,1337,"{""n_estimators"": ""234"", ""learning_rate"": 0.06835743125592372, ""max_depth"": ""4""}",0.5201612903225806,0.5285397074190178,123,0.4878048780487805,1.635672136653566,0.955072800689304,-0.1125647991936375,3.137827913055476,0.5203252032520326,0.5225198412698413,122,0.4344262295081967,-0.0958945849064945,-0.0918794565192879,-0.2328259843705793,-0.1870448947339192,-0.3946271579938745,
AAPL,full_70_30,gradient_boosting,2,0.0025,2024,"{""n_estimators"": ""377"", ""learning_rate"": 0.0634411702419242, ""max_depth"": ""3""}",0.5282258064516129,0.5347439916405433,123,0.4878048780487805,0.8069026971211736,0.3637437971155632,-0.1383356518304955,1.3657337927547144,0.5203252032520326,0.5240079365079365,122,0.4426229508196721,-0.3750496936669325,-0.202785925702856,-0.2797097658095286,-0.6508297360906125,-0.7249869346390475,
AAPL,full_70_30,gradient_boosting,2,0.0025,31415,"{""n_estimators"": ""50"", ""learning_rate"": 0.14991828409623714, ""max_depth"": ""5""}",0.4798387096774194,0.5254702194357367,123,0.4471544715447154,0.5104684774316884,0.1963051929774448,-0.1900590989933994,0.9542084499550691,0.4715447154471545,0.4878968253968254,122,0.4344262295081967,-0.6507799736305215,-0.2989285739931301,-0.3509980590420772,-1.0949698883700267,-0.8516530684213695,
AAPL,full_70_30,gradient_boosting,5,0.005,42,"{""n_estimators"": ""91"", ""learning_rate"": 0.08192776699882923, ""max_depth"": ""6""}",0.5591836734693878,0.6114285714285715,48,0.4166666666666667,0.304091853872065,0.2422613634859889,-0.1977637064058539,0.6427496990770492,0.508130081300813,0.5645470786739893,49,0.4489795918367347,0.2506190001511268,0.1794681219098939,-0.1905531504548963,0.5291157277452002,0.9418271043090088,
AAPL,full_70_30,gradient_boosting,5,0.005,7,"{""n_estimators"": ""256"", ""learning_rate"": 0.02918745464096105, ""max_depth"": ""5""}",0.5795918367346938,0.6091836734693877,48,0.4375,0.3638615530687198,0.3238638608261623,-0.1810498324158564,0.7584828918672062,0.540650406504065,0.5708661417322836,49,0.4693877551020408,1.0013314073879884,2.139915983762204,-0.1248568536352451,2.5036823207732084,17.138954902817922,
AAPL,full_70_30,gradient_boosting,5,0.005,1337,"{""n_estimators"": ""201"", ""learning_rate"": 0.025091959082265924, ""max_depth"": ""5""}",0.563265306122449,0.6047278911564626,48,0.3958333333333333,-0.1674271927608988,-0.2501764368643854,-0.1977637064058542,-0.3708583417985349,0.5609756097560976,0.576325018196255,49,0.3877551020408163,-0.1809479013582866,-0.3376497684005413,-0.1787373204781618,-0.2842623906689886,-1.8890837542895556,
AAPL,full_70_30,gradient_boosting,5,0.005,2024,"{""n_estimators"": ""75"", ""learning_rate"": 0.061928785012001435, ""max_depth"": ""7""}",0.5795918367346938,0.6049659863945579,48,0.4375,0.2735863680524915,0.2024830150276166,-0.1977637064058543,0.5848452642157915,0.5609756097560976,0.5785416528816251,49,0.3877551020408163,-0.4345610812407858,-0.5270309975763227,-0.2492836831246991,-0.6591417583199294,-2.114181686382924,
AAPL,full_70_30,gradient_boosting,5,0.005,31415,"{""n_estimators"": ""52"", ""learning_rate"": 0.14640566930210952, ""max_depth"": ""9""}",0.5918367346938775,0.6069727891156462,48,0.5,0.4414590714966984,0.4373027176590862,-0.1595650950583749,0.8712105375565019,0.508130081300813,0.5664990405611063,49,0.4489795918367347,0.5733162504499647,0.8033157737951673,-0.1646254750274095,1.2042017842791406,4.879656527408156,
