stock,best_auc,best_epoch,final_accuracy,final_auc
AAPL,0.5714285714285715,4,0.6666666666666666,0.5714285714285715
META,0.6111111111111112,1,0.5,0.5555555555555556
NVDA,0.8333333333333334,7,0.75,0.8333333333333334
SPY,0.6875,8,0.6666666666666666,0.65625
TSLA,0.8,1,0.75,0.7142857142857143
