Stock,Ablation,Model,Horizon,Threshold,Seed,HParams,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar
AAPL,full_70_30,lstm,2,0.0025,42,"{""lr"": 0.0032413268041956303, ""dropout"": 0.2700623497964979, ""u1"": 104, ""u2"": 80, ""batch_size"": 18}",0.536697247706422,0.5920875420875421,108,0.48148148148148145,-0.42419165340816495,-0.21205397517506042,-0.23825449001809448,-0.6888864083941129,0.5092592592592593,0.5339622641509435,107,0.38317757009345793,-0.9643726048052458,-0.4231041027983026,-0.3123712852440917,-1.8090899419594078,-1.3544910264965058
AAPL,full_70_30,lstm,2,0.0025,7,"{""lr"": 0.0032413268041956303, ""dropout"": 0.2700623497964979, ""u1"": 104, ""u2"": 80, ""batch_size"": 18}",0.573394495412844,0.6207070707070708,108,0.5555555555555556,1.6282640358464648,0.9814178727611704,-0.11482678970285307,2.544299547733427,0.5,0.5156946826758148,107,0.40186915887850466,-0.3404784558754532,-0.20550454402705687,-0.17770275589198498,-0.6797379064762661,-1.1564510803196038
AAPL,full_70_30,lstm,2,0.0025,1337,"{""lr"": 0.0032413268041956303, ""dropout"": 0.2700623497964979, ""u1"": 104, ""u2"": 80, ""batch_size"": 18}",0.5,0.5952020202020202,108,0.4537037037037037,-1.7482175541823586,-0.5675807387528833,-0.35377356258296266,-2.8204345816567056,0.4861111111111111,0.5496569468267583,107,0.35514018691588783,-2.0739598271301594,-0.6701644614934843,-0.43704108174073186,-3.1488434966724377,-1.5334129661775124
AAPL,full_70_30,lstm,2,0.0025,2024,"{""lr"": 0.0032413268041956303, ""dropout"": 0.2700623497964979, ""u1"": 104, ""u2"": 80, ""batch_size"": 18}",0.5596330275229358,0.5906565656565657,108,0.5185185185185185,-0.9021224043094535,-0.3665915936821311,-0.24629831914485004,-1.3951066782440453,0.49537037037037035,0.49699828473413377,107,0.3644859813084112,-2.0097153037591426,-0.6592814244910328,-0.4149330657794072,-3.640672521191265,-1.5888862056646256
AAPL,full_70_30,lstm,2,0.0025,31415,"{""lr"": 0.0032413268041956303, ""dropout"": 0.2700623497964979, ""u1"": 104, ""u2"": 80, ""batch_size"": 18}",0.4908256880733945,0.5656565656565657,108,0.4537037037037037,-2.2851379699930625,-0.6587863678649492,-0.41615997000103355,-3.2125018565676235,0.5370370370370371,0.5391938250428817,107,0.40186915887850466,-0.8949631527295162,-0.4022795499451449,-0.3374888673580347,-1.6602090987780433,-1.191978725385259
AAPL,full_70_30,lstm,5,0.005,42,"{""lr"": 0.0032413268041956303, ""dropout"": 0.2700623497964979, ""u1"": 104, ""u2"": 80, ""batch_size"": 18}",0.5813953488372093,0.634608695652174,42,0.5714285714285714,0.3746876593245688,0.35830558851081573,-0.12896201980117494,0.4898055168318317,0.4398148148148148,0.45991379310344827,43,0.37209302325581395,-0.0011858777643635435,-0.15507659551407527,-0.16395106927083777,-0.0022169473308163243,-0.9458712053771214
AAPL,full_70_30,lstm,5,0.005,7,"{""lr"": 0.0032413268041956303, ""dropout"": 0.2700623497964979, ""u1"": 104, ""u2"": 80, ""batch_size"": 18}",0.5348837209302325,0.5333043478260869,42,0.6428571428571429,1.2403476364839245,2.3762944266887027,-0.15548971187711577,1.5939533869038567,0.5370370370370371,0.46879310344827585,43,0.5348837209302325,1.2865609788575065,3.9862861535214877,-0.10310124679588935,2.183584504185326,38.66380162611594
AAPL,full_70_30,lstm,5,0.005,1337,"{""lr"": 0.0032413268041956303, ""dropout"": 0.2700623497964979, ""u1"": 104, ""u2"": 80, ""batch_size"": 18}",0.5906976744186047,0.5872608695652175,42,0.6428571428571429,2.1142443668253885,6.872000354216585,-0.10938196539436894,2.931332752698201,0.47685185185185186,0.4575862068965518,43,0.4418604651162791,0.45291168887614724,0.6006627012164281,-0.23985895479716873,0.8537460339679018,2.504232963594646
AAPL,full_70_30,lstm,5,0.005,2024,"{""lr"": 0.0032413268041956303, ""dropout"": 0.2700623497964979, ""u1"": 104, ""u2"": 80, ""batch_size"": 18}",0.48372093023255813,0.482695652173913,42,0.35714285714285715,-1.8008684691468635,-0.8650887332780619,-0.3246151446194179,-3.6107085859247046,0.46296296296296297,0.4928448275862069,43,0.37209302325581395,-1.6527391812749626,-0.913894730030238,-0.4043557254425881,-2.130785658923149,-2.2601256085342514
AAPL,full_70_30,lstm,5,0.005,31415,"{""lr"": 0.0032413268041956303, ""dropout"": 0.2700623497964979, ""u1"": 104, ""u2"": 80, ""batch_size"": 18}",0.5627906976744186,0.6113913043478261,42,0.5238095238095238,-0.8831366379998677,-0.6521705046083937,-0.23717911442193804,-1.290147653297952,0.42592592592592593,0.4770689655172414,43,0.37209302325581395,-1.3774786846581115,-0.87609526144551,-0.3661927289513803,-1.7786143275086082,-2.3924430830570365
