Stock,Ablation,Model,Horizon,Threshold,Seed,Best_Params,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar
AAPL,full_70_30,lightgbm,2,0.0025,42,"{""n_estimators"": ""325"", ""learning_rate"": 0.01024325040703381, ""num_leaves"": ""22"", ""subsample"": 0.7623873301291946}",0.5564516129032258,0.5635449320794148,123,0.4796747967479675,-0.5750592897430824,-0.26415382752555894,-0.2540689584529699,-0.8168042976201502,0.4959349593495935,0.5037037037037038,122,0.45901639344262296,0.1304296644887226,0.008908919679282201,-0.2295298943596147,0.25463871183428133,0.03881376630324327
AAPL,full_70_30,lightgbm,2,0.0025,7,"{""n_estimators"": ""340"", ""learning_rate"": 0.01, ""num_leaves"": ""20"", ""subsample"": 0.524470358677008}",0.5645161290322581,0.5660919540229885,123,0.4959349593495935,-0.2393275834384786,-0.14465666519119746,-0.24394262690704077,-0.33502085877138504,0.524390243902439,0.49642857142857144,122,0.47540983606557374,0.18058727339363959,0.03265307129401651,-0.2028057621820583,0.3430927559684628,0.16100662497303167
AAPL,full_70_30,lightgbm,2,0.0025,1337,"{""n_estimators"": ""202"", ""learning_rate"": 0.017027657761835728, ""num_leaves"": ""20"", ""subsample"": 1.0}",0.5604838709677419,0.5654062173458726,123,0.4959349593495935,-0.26959982911086067,-0.15618974660885998,-0.23259069965740245,-0.3754017692462348,0.524390243902439,0.49652777777777785,122,0.45901639344262296,-0.160130394635015,-0.1186705764960152,-0.22029863871567665,-0.30547890515506515,-0.5386804802238231
AAPL,full_70_30,lightgbm,2,0.0025,2024,"{""n_estimators"": ""86"", ""learning_rate"": 0.03851282847757571, ""num_leaves"": ""20"", ""subsample"": 1.0}",0.5604838709677419,0.5734717868338558,123,0.5040650406504065,0.14016039101655473,0.013781906009471712,-0.22749824935976237,0.2003253325911121,0.508130081300813,0.5034060846560846,122,0.45901639344262296,0.22036105579461138,0.05192510557982488,-0.1969975699823713,0.430730234946716,0.26358246746125596
AAPL,full_70_30,lightgbm,2,0.0025,31415,"{""n_estimators"": ""123"", ""learning_rate"": 0.027327875360963958, ""num_leaves"": ""20"", ""subsample"": 0.6022123537457073}",0.5403225806451613,0.5694226750261233,123,0.4796747967479675,-0.7050467379024419,-0.30580180512408395,-0.2910782208053598,-0.9861002637245413,0.516260162601626,0.5011243386243387,122,0.45081967213114754,-0.06438357754450227,-0.0784691723146208,-0.24683230433834757,-0.12574576824501346,-0.3179047917774105
AAPL,full_70_30,lightgbm,5,0.005,42,"{""n_estimators"": ""52"", ""learning_rate"": 0.03104862859649792, ""num_leaves"": ""81"", ""subsample"": 0.9981046823903819}",0.563265306122449,0.5942176870748299,48,0.5208333333333334,1.3273937370943965,2.5995899572502954,-0.14835015500157492,2.8932018248293887,0.4796747967479675,0.47703963475153843,49,0.42857142857142855,-1.5789960642401513,-0.8925874613962422,-0.44505483256613015,-2.0736328006583324,-2.0055673954818
AAPL,full_70_30,lightgbm,5,0.005,7,"{""n_estimators"": ""206"", ""learning_rate"": 0.01, ""num_leaves"": ""20"", ""subsample"": 1.0}",0.5959183673469388,0.6017346938775511,48,0.5416666666666666,1.6120554681795474,3.770586325998959,-0.13341724422282794,3.392001407494954,0.4715447154471545,0.4676106663137696,49,0.40816326530612246,-1.648925702158954,-0.9015157516272426,-0.4543403859179147,-2.197074350843297,-1.9842298408183303
AAPL,full_70_30,lightgbm,5,0.005,1337,"{""n_estimators"": ""50"", ""learning_rate"": 0.04779280087451784, ""num_leaves"": ""20"", ""subsample"": 0.7082350394122391}",0.5918367346938775,0.6030952380952381,48,0.5833333333333334,1.9292775857635414,5.465872431951277,-0.11415942967214143,3.8543293248263386,0.45934959349593496,0.4606630053596242,49,0.42857142857142855,-1.5789960642401513,-0.8925874613962422,-0.44505483256613015,-2.0736328006583324,-2.0055673954818
AAPL,full_70_30,lightgbm,5,0.005,2024,"{""n_estimators"": ""198"", ""learning_rate"": 0.01, ""num_leaves"": ""20"", ""subsample"": 0.5878156802823916}",0.5959183673469388,0.6008503401360544,48,0.5416666666666666,1.6120554681795474,3.770586325998959,-0.13341724422282794,3.392001407494954,0.46747967479674796,0.46727982531595313,49,0.40816326530612246,-1.648925702158954,-0.9015157516272426,-0.4543403859179147,-2.197074350843297,-1.9842298408183303
AAPL,full_70_30,lightgbm,5,0.005,31415,"{""n_estimators"": ""215"", ""learning_rate"": 0.01216539099846001, ""num_leaves"": ""38"", ""subsample"": 0.6341625704944737}",0.5836734693877551,0.5945238095238096,48,0.5833333333333334,1.2656651209120016,2.382049205860384,-0.11616416530632213,2.584389684226746,0.491869918699187,0.49798186991331966,49,0.40816326530612246,-1.7457377618700871,-0.9126081884936517,-0.46644817127609245,-2.3191811775185354,-1.9565050196187292
